timestamp,TP9,AF7,AF8,TP10
1630679898371,2.0,1.0,1.0,2.0
1630679898510,2.0,1.0,1.0,2.0
1630679898608,2.0,1.0,1.0,2.0
1630679898664,2.0,1.0,1.0,2.0
1630679898794,2.0,1.0,1.0,2.0
1630679898905,2.0,1.0,1.0,2.0
1630679898953,2.0,1.0,1.0,2.0
1630679899125,2.0,1.0,1.0,2.0
1630679899233,2.0,1.0,1.0,2.0
1630679899295,2.0,1.0,1.0,2.0
1630679899393,2.0,1.0,1.0,2.0
1630679899501,2.0,1.0,1.0,2.0
1630679899602,2.0,1.0,1.0,2.0
1630679899725,2.0,1.0,1.0,2.0
1630679899821,2.0,1.0,1.0,2.0
1630679899932,2.0,1.0,1.0,2.0
1630679900024,2.0,1.0,1.0,2.0
1630679900132,2.0,1.0,1.0,2.0
1630679900193,2.0,1.0,1.0,2.0
1630679900333,2.0,1.0,1.0,2.0
1630679900473,2.0,1.0,1.0,2.0
1630679900535,2.0,1.0,1.0,2.0
1630679900600,2.0,1.0,1.0,2.0
1630679900729,2.0,1.0,1.0,2.0
1630679900793,2.0,1.0,1.0,2.0
1630679900937,2.0,1.0,1.0,2.0
1630679901037,2.0,1.0,1.0,2.0
1630679901181,2.0,1.0,1.0,2.0
1630679901245,2.0,1.0,1.0,2.0
1630679901329,2.0,1.0,1.0,2.0
1630679901425,2.0,4.0,4.0,2.0
1630679901566,4.0,4.0,4.0,4.0
1630679901647,4.0,4.0,4.0,4.0
1630679901766,4.0,4.0,4.0,2.0
1630679901880,2.0,4.0,2.0,2.0
1630679901929,2.0,2.0,2.0,2.0
1630679902026,2.0,2.0,1.0,2.0
1630679902169,2.0,1.0,1.0,2.0
1630679902265,2.0,1.0,1.0,2.0
1630679902361,2.0,2.0,1.0,2.0
1630679902430,2.0,4.0,1.0,2.0
1630679902550,2.0,4.0,1.0,2.0
1630679902645,2.0,4.0,1.0,2.0
1630679902787,2.0,1.0,1.0,2.0
1630679902874,2.0,4.0,1.0,2.0
1630679902985,2.0,4.0,1.0,2.0
1630679903064,2.0,2.0,1.0,2.0
1630679903141,2.0,2.0,1.0,2.0
1630679903237,2.0,2.0,1.0,2.0
1630679903381,2.0,2.0,1.0,2.0
1630679903473,2.0,2.0,1.0,2.0
1630679903584,2.0,1.0,1.0,2.0
1630679903692,2.0,1.0,1.0,2.0
1630679903756,2.0,1.0,1.0,2.0
1630679903880,2.0,1.0,1.0,2.0
1630679904009,2.0,1.0,1.0,2.0
1630679904105,2.0,1.0,1.0,2.0
1630679904218,2.0,1.0,1.0,2.0
1630679904281,2.0,1.0,1.0,2.0
